accession	Mut_L0_1	Mut_L0_2	Mut_L3_1	Mut_L3_2	URT1_L12_1_2019	URT1_L12_2_2019	URT1_L17_1_2019	URT1_L17_2_2019
AT2G26340.2	0	0	0	0	0	0	0	1
AT2G26890.1	1	0	0	0	0	1	0	1
AT2G26990.1	0	1	0	0	0	0	0	0
AT2G27030.3-AT3G56800.1	23	33	26	20	9	22	20	19
AT2G27040.1	4	2	3	1	2	4	0	2
AT2G27100.1	0	1	1	1	3	0	2	1
AT2G27170.1	0	0	1	0	0	0	0	0
AT2G27530.1	10	8	8	9	10	9	6	9
AT2G27600.1	1	0	0	0	1	0	0	0
AT2G27680.1	1	1	1	0	0	1	1	1
AT2G27710.1	4	5	3	4	3	3	2	3
AT2G27730.1	4	7	5	5	6	5	6	4
AT2G27880.1	0	0	0	0	0	0	1	0
AT2G28000.1	18	20	14	12	25	30	14	13
AT2G28080.1	0	0	0	0	0	1	0	1
AT2G28470.1	1	0	0	0	0	1	0	0
AT2G28540.2	0	0	0	0	1	1	0	0
AT2G28790.1	10	16	13	17	11	10	22	14
AT2G28900.1	0	0	0	0	0	0	2	0
AT2G28950.1	3	2	4	3	3	4	2	3
AT2G29140.1	7	4	8	5	5	7	8	8
AT2G29190.1	6	4	9	7	5	6	8	10
AT2G29200.1	6	4	9	5	5	8	7	9
AT2G29550.1	77	86	60	65	61	71	76	69
AT2G29580.1	0	0	0	1	0	0	0	0
AT2G30050.1	2	2	2	0	0	1	2	0
AT2G30110.1	1	1	0	1	0	1	0	1
AT2G30200.1	0	1	1	0	0	1	1	0
AT2G30490.1	1	0	0	0	0	0	0	0
AT2G30620.1	0	0	0	0	1	5	1	0
AT2G30880.1	1	0	0	1	0	0	1	1
AT2G30950.1	0	2	0	2	0	1	2	2
AT2G30970.1	0	0	0	0	0	1	0	0
AT2G31610.1	21	15	17	13	12	17	15	13
AT2G31810.1	2	1	2	1	2	2	2	0
AT2G31890.1	1	0	0	0	0	0	0	0
AT2G31980.1	2	3	3	5	6	5	4	4
AT2G32060.1	4	5	4	4	5	5	3	5
AT2G32080.1	0	0	2	1	5	2	1	3
AT2G32700.7	2	0	1	2	2	2	2	2
AT2G32730.1	2	0	0	1	0	0	0	0
AT2G32810.1	0	0	0	0	0	1	0	0
AT2G32850.2	3	1	2	2	2	2	2	3
AT2G32920.1	0	1	0	2	0	0	1	1
AT2G32930.2	0	1	1	0	0	0	0	0
AT2G33150.1	8	13	7	9	11	11	17	12
AT2G33210.1	28	35	18	17	41	41	26	19
AT2G33340.1	3	1	1	2	0	0	1	0
AT2G33410.1	4	2	2	1	2	4	4	5
AT2G33430.1	1	0	0	0	0	0	0	0
AT2G33800.1	5	7	4	4	5	7	7	4
AT2G34040.1	2	1	1	0	2	3	1	1
AT2G34160.1	0	1	2	0	1	1	3	1
AT2G34420.1	27	40	27	41	29	30	43	36
AT2G34480.1	11	7	11	8	11	14	10	8
AT2G34560.2	0	0	0	0	0	0	1	0
AT2G34640.1	0	0	0	0	0	1	0	0
AT2G34680.1	0	0	0	0	1	0	0	0
AT2G34810.1	2	0	1	2	1	0	3	0
AT2G34970.1	0	1	1	1	0	0	1	0
AT2G35050.1	0	0	1	0	0	0	0	0
AT2G35110.1	0	0	0	1	0	0	0	1
AT2G35390.2	2	1	1	0	1	1	0	3
AT2G35630.1	1	0	0	0	0	1	0	0
AT2G35920.1	0	0	0	0	0	0	0	1
AT2G36060.2	0	1	0	1	1	1	1	2
AT2G36170.1-AT3G52590.1	82	77	77	86	72	71	76	69
AT2G36250.1	1	0	2	1	1	1	2	1
AT2G36460.1	6	8	8	9	6	8	11	7
AT2G36530.1	5	2	2	3	2	5	5	3
AT2G36580.1	4	4	6	2	3	4	7	1
AT2G36620.1	3	5	1	2	3	2	3	3
AT2G36870.1	0	2	2	2	0	1	2	0
AT2G36880.1	11	13	21	20	8	10	16	20
AT2G37040.1	0	1	0	0	0	0	0	0
AT2G37190.1	5	7	6	5	3	6	8	7
AT2G37220.1	13	7	9	8	16	16	12	12
AT2G37270.1	30	26	25	25	31	30	28	23
AT2G37550.1	1	0	2	0	0	0	0	1
AT2G37620.1-AT3G53750.1	46	50	44	42	46	47	43	44
AT2G37690.1	4	3	3	5	0	1	8	5
AT2G38020.1	1	0	0	0	0	0	0	0
AT2G38040.1	8	6	7	9	5	4	5	8
AT2G38110.1	6	5	1	6	2	3	1	1
AT2G38270.1	0	0	1	0	0	0	0	0
AT2G38280.1	1	1	0	0	1	0	0	0
AT2G38540.1	3	4	5	3	4	5	4	4
AT2G38610.1	0	0	0	0	0	0	1	2
AT2G38670.1	1	1	1	1	1	0	0	1
AT2G38770.1	1	1	2	1	2	1	1	1
AT2G38810.1	2	3	2	4	3	2	2	3
AT2G39260.1	0	0	0	0	0	0	1	0
AT2G39310.1	0	1	1	1	0	1	1	1
AT2G39330.1	0	2	1	2	0	1	1	2
AT2G39390.1	6	6	3	1	5	6	7	5
AT2G39460.1	4	4	5	3	4	4	6	4
AT2G39730.1	67	58	41	49	50	58	62	44
AT2G39770.1	1	0	3	1	0	0	1	2
AT2G39800.1	11	12	17	17	11	11	16	17
AT2G39990.1	3	2	1	3	3	1	0	2
AT2G40060.1	2	2	1	3	2	0	4	0
AT2G40100.1	0	1	0	0	0	0	1	1
AT2G40290.1	4	4	2	2	3	4	4	4
AT2G40510.1	2	0	0	1	0	0	1	0
AT2G40600.1	1	0	1	0	0	1	2	2
AT2G40620.1	0	0	0	0	0	0	1	0
AT2G40660.1	2	2	1	0	0	0	0	1
AT2G41040.1	3	2	2	1	3	1	1	3
AT2G41100.1	2	2	1	2	2	3	2	2
AT2G41475.1	1	3	1	2	0	0	3	2
AT2G41530.1	2	1	2	2	1	1	1	1
AT2G41620.1	0	1	0	0	1	0	0	0
AT2G41840.1	20	18	10	16	23	21	21	19
AT2G42100.1	11	14	9	11	11	10	12	10
AT2G42210.2	0	0	2	1	0	0	1	0
AT2G42220.1	0	0	0	0	0	0	1	0
AT2G42500.1	3	2	2	2	2	1	1	5
AT2G42520.1	7	9	8	15	18	19	19	22
AT2G42530.1	0	0	0	0	0	0	1	0
AT2G42590.3	1	1	2	1	0	1	2	1
AT2G42740.1	3	4	0	1	0	3	2	1
AT2G42800.1	1	1	0	0	0	1	1	1
AT2G43030.1	7	8	9	7	5	8	8	11
AT2G43360.1	0	0	1	1	0	0	1	1
AT2G43460.1-AT3G59540.1	1	1	1	1	0	1	0	0
AT2G43710.2	0	1	0	0	1	0	0	0
AT2G43950.1	0	0	0	0	0	0	1	0
AT2G44060.1	1	0	1	0	0	0	0	0
AT2G44120.2	5	6	4	6	7	4	11	5
AT2G44160.1	0	2	0	0	0	0	1	0
AT2G44350.2	2	0	0	0	0	0	0	0
AT2G44530.1	1	3	2	1	2	1	1	1
AT2G44590.3	2	0	2	3	2	1	2	1
AT2G44730.1	0	1	0	0	0	1	0	1
AT2G45140.1	1	0	0	0	0	0	0	0
AT2G45300.1	2	1	2	1	0	0	1	0
AT2G45470.1	2	3	4	3	4	1	4	3
AT2G45620.1	1271	1261	1310	1318	1318	1316	1230	1292
AT2G45640.1	0	0	1	0	0	0	0	0
AT2G45710.1	5	7	5	4	4	6	4	4
AT2G45810.1	15	11	13	13	36	31	35	27
AT2G45960.3	8	8	8	7	10	11	14	6
AT2G46020.2	0	0	1	1	0	0	3	1
AT2G46280.1	7	10	4	8	5	9	9	5
AT2G46520.1	1	1	0	1	0	0	1	0
AT2G46720.1	0	0	0	0	0	0	0	1
AT2G46780.1	1	1	1	2	2	2	3	2
AT2G46820.1	0	0	1	0	0	0	0	0
AT2G47060.4	0	0	1	0	0	1	1	1
AT2G47110.1	80	81	76	87	74	73	77	69
AT2G47240.1	0	0	0	0	0	1	0	0
AT2G47250.1	0	2	0	1	0	0	0	1
AT2G47400.1	1	0	0	1	0	0	0	0
AT2G47470.1	3	3	2	1	4	2	1	1
AT2G47510.1	2	1	0	0	0	4	2	1
AT2G47610.1	15	11	10	13	14	11	12	15
AT2G47640.1-AT3G62840.1	0	1	1	1	0	0	1	0
AT2G47650.2	0	0	1	1	1	1	2	1
AT2G47850.1	0	0	2	0	0	0	1	0
AT3G01010.1	4	3	3	2	3	1	1	3
AT3G01090.2	1	1	1	1	0	0	1	0
AT3G01280.1	0	0	0	0	0	1	0	2
AT3G01340.1	2	0	0	1	1	1	1	1
AT3G01390.1	6	1	1	0	1	0	3	2
AT3G01500.2	13	13	11	12	13	12	14	11
AT3G01510.1	0	0	1	1	1	0	0	0
AT3G01540.2	4	4	4	6	3	4	8	9
AT3G01780.1	2	4	0	2	0	2	1	0
AT3G02080.1	7	4	3	5	5	5	6	5
AT3G02090.2	2	3	2	3	3	6	4	3
AT3G02200.2	2	1	1	0	0	0	1	0
AT3G02230.1	8	8	5	6	3	4	8	5
AT3G02260.1	2	2	4	3	1	2	3	5
AT3G02360.2	7	9	6	9	6	6	7	8
AT3G02480.1	1	0	0	0	0	0	0	0
AT3G02520.1	13	13	17	12	5	12	10	13
AT3G02530.1	11	8	5	12	9	11	6	9
AT3G02560.1	1	1	2	1	0	0	3	1
AT3G02760.1	1	0	0	1	0	0	1	0
AT3G02830.1	4	2	2	3	2	3	7	3
AT3G03100.1	0	1	1	0	0	0	0	0
AT3G03250.1	4	5	3	3	0	2	2	2
AT3G03560.1	0	0	0	0	0	1	0	0
AT3G03780.1	15	13	13	17	6	14	15	8
AT3G03950.3	2	1	3	1	0	1	3	3
AT3G03960.1	20	10	14	11	9	14	15	12
AT3G04120.1	71	66	66	59	69	75	72	59
AT3G04290.1	1	0	0	0	0	0	0	0
AT3G04500.1	0	0	0	0	1	0	0	0
AT3G04600.1	0	0	2	2	1	1	1	2
AT3G04610.1	0	2	0	0	0	1	3	1
AT3G04740.1	0	0	0	0	0	0	1	0
AT3G04790.1	1	0	0	0	0	0	0	0
AT3G04830.1	1	0	0	0	0	0	0	0
AT3G04840.1	22	17	16	16	15	16	21	17
AT3G04870.1	0	0	2	1	0	0	1	1
AT3G04920.1	2	4	2	1	0	4	5	3
AT3G05020.1	1	1	1	1	0	1	0	0
AT3G05060.1	9	8	9	9	8	5	13	11
AT3G05420.2	0	0	1	0	0	1	2	0
AT3G05530.1	6	4	4	3	0	1	3	2
AT3G05560.1	3	3	3	2	3	3	3	2
AT3G05590.1	10	10	10	11	12	11	6	8
AT3G05970.1	0	0	0	0	1	1	0	0
AT3G06410.1	1	2	1	2	2	0	1	2
AT3G06480.1	1	2	2	2	1	2	4	5
AT3G06510.2	2	0	3	1	1	2	0	1
AT3G06580.1	0	1	1	1	0	0	2	0
AT3G06610.1	1	0	0	0	0	0	0	0
AT3G06650.1	18	16	10	13	13	14	11	11
AT3G06810.1	1	0	2	1	1	2	4	2
AT3G06850.1	5	7	5	5	3	1	4	7
AT3G06860.1	5	2	5	5	2	3	0	4
AT3G07010.1	1	0	0	1	1	0	0	1
AT3G07100.1	3	2	2	2	2	0	5	1
AT3G07110.2	9	8	8	7	8	9	5	13
AT3G07590.1	0	0	1	0	0	1	1	1
AT3G07630.1	2	1	1	1	0	1	1	1
AT3G07680.1	0	0	1	0	0	0	1	0
AT3G07770.1	5	7	4	8	2	2	5	6
AT3G07810.2	2	2	2	2	2	3	3	2
AT3G08030.1	3	4	2	2	1	2	3	2
AT3G08530.1	71	61	64	60	66	70	76	69
AT3G08580.1	40	38	50	48	35	38	48	44
AT3G08940.2	5	4	6	4	3	4	7	4
AT3G09200.1	4	4	3	5	5	4	11	3
AT3G09440.1	66	74	77	67	71	76	76	66
AT3G09500.1	7	9	3	0	5	4	8	4
AT3G09630.1	39	37	27	29	40	42	48	35
AT3G09820.1	5	4	4	4	2	2	4	4
AT3G09840.1	9	9	10	9	6	5	10	6
AT3G09900.1	2	2	3	3	2	2	3	2
AT3G10090.1-AT5G03850.1	0	2	1	1	1	1	2	1
AT3G10380.1	2	2	2	2	2	2	2	3
AT3G10690.1	0	0	0	0	1	1	0	0
AT3G10950.1	0	1	0	0	0	1	1	0
AT3G11130.1	66	60	62	59	64	70	75	67
AT3G11200.1	2	1	2	2	1	0	1	1
AT3G11400.2	1	2	1	1	0	1	1	3
AT3G11510.1	18	15	13	16	13	15	13	14
AT3G11540.1	1	2	1	1	2	1	1	0
AT3G11630.1	0	0	0	0	1	1	1	0
AT3G11710.1	4	8	2	6	5	1	4	5
AT3G11730.1	0	0	1	0	0	0	0	0
AT3G11830.1	17	23	11	12	10	12	19	9
AT3G11910.1	11	12	9	9	12	9	8	7
AT3G11940.1	29	26	25	26	31	31	30	24
AT3G12050.1	0	1	3	1	0	0	2	2
AT3G12080.1	0	0	0	1	0	0	0	1
AT3G12110.1	55	54	52	48	53	50	46	47
AT3G12130.1	2	0	2	3	2	1	1	1
AT3G12145.1	7	12	8	8	6	4	12	11
AT3G12390.1	5	5	3	4	4	5	2	3
AT3G12490.2	2	0	2	0	2	0	3	2
AT3G12580.1	62	74	71	59	57	70	74	61
AT3G12780.1	11	9	11	12	6	9	13	10
AT3G12800.1	2	1	3	2	1	3	1	2
AT3G12915.1	19	20	22	19	14	18	19	21
AT3G12930.1	0	0	1	0	0	0	0	0
AT3G13060.2	0	0	3	1	5	6	3	6
AT3G13120.1	1	1	1	0	0	1	2	1
AT3G13290.1	4	3	1	3	7	5	7	7
AT3G13300.1	16	16	16	20	34	36	34	34
AT3G13460.1	21	21	20	21	24	21	26	28
AT3G13470.1	28	27	21	13	35	40	24	17
AT3G13570.1	1	1	2	1	2	2	1	2
AT3G13580.3	4	4	1	5	5	2	6	5
AT3G13670.1	0	0	1	0	1	0	1	1
AT3G13750.1	0	0	0	0	2	2	3	1
AT3G13860.1	7	6	6	6	11	12	6	6
AT3G13870.1	0	1	1	1	0	0	0	0
AT3G13920.2	43	43	42	45	38	37	51	47
AT3G13930.1	0	0	0	0	0	2	0	1
AT3G13990.1	0	0	0	0	0	0	1	0
AT3G14100.1	4	5	5	5	3	4	8	5
AT3G14110.3	1	1	1	1	1	0	1	1
AT3G14210.1	9	14	8	9	20	16	12	10
AT3G14310.1	0	2	2	1	2	2	1	2
AT3G14420.1	4	5	0	0	2	4	4	2
AT3G14450.1	1	1	0	0	0	0	1	0
AT3G14990.1	2	1	1	1	1	1	0	1
AT3G15000.1	6	5	2	3	6	8	8	8
AT3G15010.1	3	3	3	1	7	4	5	6
AT3G15190.1	2	0	0	1	0	1	0	0
AT3G15290.1	0	0	0	0	0	0	1	0
AT3G15610.1	10	8	7	7	7	11	9	9
AT3G15680.1	2	1	1	0	2	2	0	2
AT3G15730.1	0	0	4	3	0	4	3	2
AT3G15880.2	0	1	1	0	0	0	0	1
AT3G15980.5	6	6	6	6	5	4	7	5
AT3G16470.1	28	33	21	22	25	27	26	27
AT3G16640.1	4	3	3	3	1	2	2	3
AT3G16780.1	3	2	2	3	0	1	2	2
AT3G16910.1	0	0	0	0	1	2	0	0
AT3G16950.2	0	2	0	0	0	0	6	0
AT3G16980.1	1	1	1	0	0	1	0	1
AT3G17020.1	0	0	0	0	1	1	1	0
AT3G17390.1	13	12	17	17	6	10	16	15
AT3G17840.1	0	0	0	0	0	0	1	0
AT3G17850.1	2	0	0	0	0	0	2	0
AT3G17970.1	1	1	1	0	1	0	0	1
AT3G18190.1	18	12	10	9	9	9	8	8
AT3G18490.1	3	1	2	3	1	1	1	2
AT3G18740.1	5	3	4	4	6	6	4	5
AT3G18780.2	42	45	42	42	46	36	40	45
AT3G18790.1	0	1	0	1	0	0	1	0
AT3G19130.1	0	2	0	2	0	0	2	2
AT3G19170.1	1	1	1	1	0	0	0	1
AT3G19240.1	0	1	0	1	0	1	1	1
AT3G19720.1	0	1	0	0	0	0	1	0
AT3G19760.1	3	3	3	3	2	2	5	2
AT3G19820.1	9	8	10	13	0	3	14	8
AT3G19960.2	1	1	1	1	1	1	1	1
AT3G20000.1	1	0	0	0	1	0	0	0
AT3G20050.1	6	8	8	9	9	8	10	9
AT3G20630.1	0	0	1	0	0	0	0	0
AT3G20650.1	0	0	1	2	0	0	0	0
AT3G20800.1	0	1	0	1	0	2	1	2
AT3G20810.2	0	0	1	1	0	1	0	1
AT3G20820.1	7	6	7	9	9	9	11	7
AT3G21110.1	0	1	0	0	0	0	0	0
AT3G21140.1	0	2	0	0	0	0	0	0
AT3G21180.1	0	1	1	0	1	1	0	1
AT3G22110.1	2	2	1	2	0	0	1	0
AT3G22220.1	0	0	0	1	0	0	1	0
AT3G22230.1	1	2	1	0	2	0	2	0
AT3G22310.1	7	4	9	2	7	9	7	9
AT3G22330.1	11	10	11	8	11	12	15	13
AT3G22460.1	0	0	0	0	0	1	1	0
AT3G22520.1	0	0	0	0	1	0	0	0
AT3G22845.1	0	1	0	0	0	0	0	0
AT3G22890.1	3	2	1	2	0	0	0	4
AT3G22960.1	2	2	1	2	2	2	2	1
AT3G23450.1	9	9	9	10	11	9	9	10
AT3G23510.1	0	0	1	0	0	0	0	0
AT3G23770.1	0	0	0	1	0	0	0	0
AT3G23810.1	43	49	38	47	40	37	49	48
AT3G23820.1	0	0	0	0	0	1	0	0
AT3G23990.1	34	36	19	20	52	49	32	26
AT3G24830.1	12	10	8	10	9	7	8	10
AT3G25050.1	1	1	1	1	2	1	4	2
AT3G25150.2	6	5	6	3	8	9	10	6
AT3G25230.2	0	0	0	0	1	0	0	0
AT3G25520.1	10	9	5	3	3	8	15	4
AT3G25800.1	3	2	1	3	0	2	3	3
AT3G25810.1	0	0	0	0	0	0	1	0
AT3G25860.1	4	4	4	2	5	4	2	3
AT3G25920.1	0	1	2	1	1	2	0	0
AT3G26420.1	1	1	2	1	3	1	5	3
AT3G26450.1	0	0	0	0	0	1	0	0
AT3G26650.1	36	41	31	35	24	24	39	29
AT3G27240.1	0	0	0	1	0	0	0	0
AT3G27380.1	2	1	0	1	1	1	2	0
AT3G27430.2	0	0	0	0	0	0	2	0
AT3G27740.1	0	1	0	0	0	0	1	0
AT3G27830.1	2	4	3	4	3	3	3	4
AT3G28220.1	3	4	2	2	4	3	3	3
AT3G28500.1	3	2	1	0	0	4	2	2
AT3G28720.1	0	0	0	0	0	1	0	0
AT3G28790.1	1	1	0	0	1	2	1	0
AT3G28830.1	1	0	0	0	1	0	0	0
AT3G29075.1	0	0	0	0	0	0	1	1
AT3G29310.1	1	0	0	0	0	0	0	0
AT3G29360.1	9	7	7	8	3	3	4	6
AT3G42050.1	1	0	1	0	0	0	0	0
AT3G42170.1	2	4	2	2	2	1	2	1
AT3G42660.1	0	0	0	0	0	0	0	1
AT3G42850.1	3	2	3	2	1	2	3	3
AT3G43300.1	0	2	4	2	2	2	4	1
AT3G44110.1	22	27	25	25	22	19	30	21
AT3G44310.1	3	2	3	2	4	3	4	4
AT3G44320.1	1	1	1	1	2	1	2	2
AT3G44330.1	1	1	1	1	0	1	1	1
AT3G44750.1	0	0	1	0	0	1	1	1
AT3G44890.1	3	7	5	4	6	5	4	5
AT3G45010.1	1	1	1	0	0	0	1	1
AT3G45030.1-AT5G62300.1	13	10	14	11	13	10	11	9
AT3G45140.1	69	70	79	78	28	36	68	61
AT3G45180.1	0	1	0	0	0	0	0	0
AT3G45630.1	0	0	0	0	0	0	1	0
AT3G45850.1	0	0	0	0	0	0	1	0
AT3G46040.1	2	3	5	1	4	1	10	5
AT3G46520.1	49	50	45	45	50	49	42	42
AT3G46740.1	7	3	6	5	5	9	9	7
AT3G46780.1	4	7	8	6	5	7	5	6
AT3G47370.2	10	5	8	5	8	7	5	5
AT3G47470.1	5	4	8	4	5	5	8	5
AT3G47520.1	0	6	4	3	2	2	4	2
AT3G48500.2	0	0	2	1	3	2	0	0
AT3G48560.1	0	0	0	0	0	1	0	0
AT3G48730.1	0	0	0	0	0	1	0	0
AT3G48750.1	1	1	1	0	1	0	0	1
AT3G48870.1	14	18	14	13	8	14	11	18
AT3G48890.1	0	1	0	0	0	0	0	0
AT3G48930.1	25	22	20	15	23	21	21	21
AT3G49010.1	9	9	9	8	6	8	9	6
AT3G49240.1	0	0	2	0	3	0	2	3
AT3G49250.1	1	1	0	0	0	1	0	0
AT3G49430.1	5	10	6	7	2	1	8	9
AT3G49470.1	1	1	0	0	0	0	2	0
AT3G49720.1	5	4	4	2	4	5	5	3
AT3G49910.1	0	5	1	1	0	0	5	0
AT3G50370.1	3	1	1	0	2	2	0	2
AT3G50590.1	2	1	1	0	1	1	0	1
AT3G50670.1	2	1	0	0	1	2	1	1
AT3G51120.1	1	1	0	1	0	0	1	1
AT3G51140.1	0	0	1	0	0	0	2	1
AT3G51260.1	0	0	0	0	0	0	2	0
AT3G51310.1	1	0	0	0	0	1	0	1
AT3G51550.1	2	0	2	1	0	0	2	1
AT3G51800.2	0	1	0	1	0	0	1	0
AT3G51820.1	2	1	0	0	1	0	0	0
AT3G51890.1	3	0	0	0	0	1	3	0
AT3G51950.1	2	2	3	3	3	3	2	3
AT3G52140.4	6	5	5	4	6	5	8	4
AT3G52150.1	0	0	0	0	1	0	3	0
AT3G52180.1	0	0	0	0	0	0	1	0
AT3G52300.1	1	2	1	2	0	1	2	0
AT3G52660.1	0	0	0	0	0	0	1	1
AT3G52730.1	1	2	2	2	0	2	1	1
AT3G52750.1	0	0	2	1	1	0	1	0
AT3G52880.2	0	1	0	0	0	2	2	1
AT3G52930.1	16	15	14	19	13	18	19	12
AT3G52960.1	1	1	0	0	0	1	2	0
AT3G52990.1	2	3	4	2	1	4	5	1
AT3G53020.1	6	7	4	4	5	2	2	5
AT3G53110.1	0	1	0	2	0	0	0	0
AT3G53420.1	4	6	4	4	5	4	5	4
AT3G53460.4	7	4	3	5	9	12	7	8
AT3G53610.1	0	1	2	2	0	0	1	2
AT3G53740.2	4	11	3	1	4	6	3	2
AT3G53870.1	21	15	18	13	12	15	14	12
AT3G53890.1	0	0	1	0	0	3	1	1
AT3G54050.1	0	1	0	0	0	1	0	0
AT3G54090.1	0	1	1	1	1	1	1	1
AT3G54110.1	0	0	0	0	0	0	1	1
AT3G54210.1	0	2	0	2	0	1	0	0
AT3G54400.1	3	5	4	5	2	3	1	4
AT3G54540.1	0	1	0	0	0	0	1	0
AT3G54890.1	3	2	1	5	1	1	1	0
AT3G55000.1	0	0	0	0	0	0	1	0
AT3G55220.1-AT3G55200.1	2	2	0	2	1	1	4	1
AT3G55360.1	0	0	1	0	0	0	0	0
AT3G55410.1	1	1	1	1	1	2	3	0
AT3G55440.1	2	0	0	1	0	1	1	0
AT3G55460.1	1	0	1	1	1	0	0	1
AT3G55610.1	7	4	12	11	8	8	8	15
AT3G55760.1	12	7	10	10	7	9	6	7
AT3G55770.7	0	2	0	0	0	0	1	0
AT3G55800.1	0	0	0	0	0	1	1	0
AT3G56070.1	0	1	1	0	1	1	0	0
AT3G56150.1	14	16	12	9	10	12	10	15
AT3G56240.1	0	1	0	0	0	0	0	0
AT3G56340.1	4	2	1	2	0	1	2	3
AT3G56460.1	2	1	1	1	1	2	1	2
AT3G56910.1	0	1	0	1	1	0	1	0
AT3G57150.1	3	4	5	5	5	4	4	4
AT3G57290.1	1	0	0	0	1	1	0	1
AT3G57340.1	0	0	0	0	0	0	1	0
AT3G58140.1	0	2	0	3	0	0	2	1
AT3G58510.1	12	10	16	20	26	27	28	29
AT3G58560.1	2	2	2	2	1	0	4	1
AT3G58570.1	8	12	8	15	21	19	24	22
AT3G58610.1	3	6	2	2	2	2	4	2
AT3G58730.1	0	0	1	1	0	0	1	1
AT3G58750.1	5	5	2	5	8	7	3	5
AT3G59510.1	0	0	0	0	1	1	0	0
AT3G59770.3	2	2	1	0	0	0	4	1
AT3G59970.3	6	2	2	2	3	4	2	2
AT3G60190.1	4	4	5	5	6	5	7	5
AT3G60240.4	15	13	15	14	14	15	23	18
AT3G60740.1	0	0	0	1	0	0	0	0
AT3G60750.1	9	10	8	8	4	10	13	9
AT3G60770.1	2	7	7	5	6	5	12	9
AT3G60820.1	2	1	1	0	0	0	0	0
AT3G60830.1	0	0	1	0	0	0	1	1
AT3G60960.1	4	3	1	0	2	2	3	1
AT3G60980.1	2	1	0	0	0	0	1	0
AT3G61050.1	0	0	0	0	0	1	0	0
AT3G61240.1	17	13	13	15	35	32	25	29
AT3G61260.1	0	0	0	0	0	1	0	0
AT3G61430.1	6	6	6	4	8	9	12	5
AT3G61470.1	0	0	0	0	0	0	1	0
AT3G61690.1	0	0	0	0	1	0	2	2
AT3G61760.1	1	0	1	0	0	0	0	0
AT3G61820.1	2	2	3	2	4	4	3	2
AT3G62010.1	0	0	1	0	0	0	2	0
AT3G62030.2	2	0	0	0	0	1	1	1
AT3G62120.1	7	6	5	7	3	2	1	5
AT3G62240.1	0	2	0	0	2	5	2	1
AT3G62310.1	0	1	0	0	0	0	0	0
AT3G62360.1	2	1	0	2	2	3	0	0
AT3G62530.1	10	8	9	8	4	5	7	7
AT3G62600.1	0	2	0	0	0	0	1	0
AT3G63095.1	2	1	1	0	1	1	1	1
AT3G63130.1	0	1	0	0	0	0	0	0
AT3G63190.1	0	0	0	0	0	1	0	0
AT3G63400.1	0	0	1	0	1	1	1	0
AT3G63410.1	4	2	4	4	2	2	4	3
AT3G63460.1	3	3	1	2	1	3	3	3
AT3G63490.1	4	6	6	8	5	5	8	7
AT4G00100.1	3	9	4	6	6	7	14	8
AT4G00400.1	1	4	3	3	0	0	3	2
AT4G00430.1	6	6	6	4	7	8	12	5
AT4G00660.2	16	15	14	15	33	32	35	32
AT4G00830.1	0	0	0	0	0	0	1	0
AT4G01037.1	0	0	0	0	1	0	0	0
AT4G01050.1	1	1	1	1	1	1	2	1
AT4G01100.2	1	0	1	1	0	0	2	1
AT4G01150.1	0	0	0	0	0	1	0	0
AT4G01290.1	0	0	0	0	1	0	0	1
AT4G01310.1	4	4	3	3	4	4	3	4
AT4G01370.1	0	0	0	0	0	0	1	0
AT4G01610.1	0	0	0	1	0	1	1	0
AT4G01800.2	2	1	0	1	3	3	0	1
AT4G01850.1	9	11	12	13	6	7	17	13
AT4G02230.1	3	3	4	5	1	0	3	4
AT4G02290.1	4	8	5	5	6	7	14	9
AT4G02510.1	5	4	3	6	7	7	8	5
AT4G02570.1	0	0	0	0	0	1	0	0
AT4G02770.1	5	3	3	2	2	4	4	1
AT4G02930.1	10	7	8	9	8	6	11	7
AT4G03280.1	2	1	1	0	0	1	0	0
AT4G03430.1	0	0	1	0	0	0	0	0
AT4G04460.1	3	4	4	3	1	4	2	5
AT4G04640.1	6	2	4	2	3	3	5	4
AT4G04910.1	2	3	1	1	4	3	5	3
AT4G04920.1	0	0	0	1	0	0	0	0
AT4G04950.1	0	0	1	0	0	0	0	0
AT4G05180.1	3	3	2	0	3	5	4	1
AT4G05400.1	1	1	2	1	0	0	0	0
AT4G05420.1	0	1	0	0	0	1	1	1
AT4G08350.1	0	0	0	0	0	0	0	1
AT4G09000.2	13	14	16	15	5	13	11	13
AT4G09010.1	2	1	1	0	0	1	0	0
AT4G09040.1	2	1	0	1	1	1	2	1
AT4G09320.1	4	3	3	3	3	3	7	3
AT4G10320.1	4	2	2	1	0	0	0	0
AT4G10340.1	14	10	11	13	8	3	16	14
AT4G10450.1	6	2	5	3	4	3	3	2
AT4G10480.1	6	6	2	6	6	6	6	4
AT4G10540.1	3	3	3	1	3	3	4	3
AT4G10610.1	2	5	3	3	2	2	4	4
AT4G10710.1	0	0	0	0	0	0	1	0
AT4G10790.1	0	0	0	0	0	0	0	1
AT4G10840.1	2	2	0	0	1	0	3	0
AT4G11150.1	7	11	4	8	3	3	10	6
AT4G11270.1	0	0	0	0	1	1	1	1
AT4G11380.2	13	7	5	5	8	6	6	6
AT4G11420.1	6	8	7	5	5	8	5	5
AT4G11820.2	5	3	3	5	3	2	6	3
AT4G12770.1	1	1	1	1	1	0	1	1
AT4G13170.1	11	9	9	9	6	9	7	13
