accession	F016864_2014_S17_control_C1	F016865_2014_S17_control_C2	F016867_2014_S17_URT1_H1	F016878_2014_S25_control_C5	F016880_2014_S25_URT1_H5	F016882_2015_S12_CTRL_1	F016883_2015_S12_CTRL_2	F016884_2015_S12_CTRL_3	F016886_2015_S12_URT1_myc2	F016887_2015_S12_URT1_myc3
AT4G21150.1	0	0	0	0	0	5	5	8	1	0
AT4G21280.2	2	0	2	5	29	16	25	22	19	12
AT4G22010.1	0	0	1	0	0	0	8	7	22	20
AT4G22380.1	0	0	0	0	0	0	2	1	2	2
AT4G22485.1	0	0	0	0	1	0	0	0	0	0
AT4G23630.1	0	0	0	0	0	0	1	3	2	0
AT4G23640.1	0	0	0	0	0	0	2	4	0	0
AT4G23710.1	0	0	0	0	0	3	13	26	0	0
AT4G24190.1	0	3	0	4	5	8	28	52	14	33
AT4G24280.1	1	6	10	0	0	0	0	0	8	7
AT4G24770.1	1	0	0	0	0	0	0	0	0	0
AT4G25550.1	0	0	0	0	0	0	1	0	0	3
AT4G25630.1	0	0	0	0	0	5	11	6	13	7
AT4G26110.1	0	0	0	0	0	0	0	5	4	8
AT4G26600.1	0	0	0	0	0	0	0	0	2	0
AT4G26630.1	2	2	0	0	0	0	0	0	1	0
AT4G26780.1	4	10	3	0	0	0	0	0	0	0
AT4G26870.1	0	0	0	0	0	0	5	3	5	4
AT4G27090.1	0	0	0	0	0	0	0	0	1	0
AT4G27440.1	0	1	0	0	0	0	0	0	0	0
AT4G27585.1	0	0	0	0	0	0	3	5	0	0
AT4G27870.1	8	10	4	0	0	0	0	0	0	0
AT4G28080.1	3	2	0	0	0	0	0	0	0	0
AT4G28250.1	0	0	0	0	0	0	0	0	3	0
AT4G30190.2	0	3	2	0	0	5	22	20	4	5
AT4G31180.1	0	0	0	0	0	3	18	13	16	21
AT4G31700.1	0	3	3	0	0	1	2	0	3	3
AT4G32760.2	1	0	0	3	4	13	62	59	59	47
AT4G33625.1	0	0	0	0	0	4	6	6	0	0
AT4G33650.2	2	3	0	0	0	0	0	0	0	0
AT4G34110.1	0	0	0	0	0	0	2	0	1	0
AT4G34620.1	0	2	2	0	0	0	0	0	0	2
AT4G34980.1	0	0	0	0	0	4	12	9	11	12
AT4G35000.1	0	0	0	0	0	6	19	19	0	0
AT4G35090.1	0	2	0	0	0	4	4	4	0	0
AT4G35100.1	0	2	1	0	0	2	10	4	3	2
AT4G35570.1	0	0	0	0	0	1	1	0	0	0
AT4G35800.1	0	1	0	0	0	0	0	0	0	0
AT4G36130.1	0	0	2	0	0	0	0	1	4	2
AT4G37910.1	0	0	0	0	0	0	0	0	4	3
AT4G38350.2	0	0	0	0	0	0	7	0	0	0
AT4G38510.5	0	0	0	0	0	64	218	212	3	0
AT4G38680.1	0	0	0	0	0	0	4	0	6	6
AT4G38970.1	0	0	1	0	0	0	0	0	0	0
AT4G39080.1	0	0	0	0	0	62	121	114	0	0
AT4G39260.1	0	2	1	0	0	0	2	2	7	12
AT5G01530.1	0	3	2	0	3	3	4	6	0	0
AT5G01590.1	2	0	0	0	0	0	0	0	0	0
AT5G02490.1	2	12	14	0	1	9	30	29	37	43
AT5G02500.1	3	15	20	0	1	9	51	45	47	55
AT5G02530.1	0	0	3	0	0	0	4	3	6	5
AT5G02850.1	0	0	0	0	0	0	2	0	0	0
AT5G02870.1	0	0	3	0	0	0	1	0	0	2
AT5G03420.1	0	0	0	0	0	2	4	2	0	0
AT5G03740.1	0	0	0	0	0	1	3	4	9	3
AT5G04280.1	0	0	0	0	0	0	0	0	0	2
AT5G07030.1	0	0	0	0	0	1	0	0	0	0
AT5G07530.1	0	0	0	0	0	0	9	9	5	2
AT5G08180.1	0	0	0	0	0	0	3	0	0	0
AT5G08660.1	0	0	0	0	0	0	3	0	0	0
AT5G08670.1	0	0	0	0	0	1	3	5	0	0
AT5G09590.1	0	0	0	0	0	0	0	0	3	3
AT5G09810.1	1	3	3	0	0	4	4	5	7	5
AT5G10360.1	0	2	4	0	0	1	2	0	1	1
AT5G12250.1	0	0	4	0	0	0	4	3	13	9
AT5G13300.1	0	0	0	0	0	0	2	0	0	0
AT5G13490.1	0	3	2	0	0	4	2	5	3	3
AT5G13510.1	0	0	3	0	0	0	0	0	0	0
AT5G13850.1	0	0	0	0	0	0	0	0	2	3
AT5G14320.1	0	1	0	0	0	0	0	0	0	0
AT5G14660.1	0	0	2	0	0	0	2	2	2	0
AT5G15090.1	0	0	0	0	0	0	9	11	0	0
AT5G16780.1	0	0	0	0	0	0	5	0	26	4
AT5G17170.1	0	0	1	0	2	0	0	0	0	0
AT5G17910.1	1	3	0	0	0	0	0	0	0	0
AT5G17920.1	0	1	5	0	0	0	1	0	0	0
AT5G18380.1	0	0	1	0	0	0	0	0	0	0
AT5G19300.1	0	0	0	0	0	0	4	0	12	2
AT5G19770.1-AT5G19780.1	0	0	0	0	0	6	5	4	5	6
AT5G20010.1	0	1	0	0	0	0	0	0	0	0
AT5G20160.2	0	0	0	0	0	0	6	3	6	2
AT5G20290.1	1	3	3	0	0	0	0	0	0	0
AT5G20630.1	0	0	0	0	0	0	1	0	0	0
AT5G20650.1	0	0	0	0	0	10	7	9	0	0
AT5G20970.1	0	0	0	0	0	0	1	0	0	0
AT5G22650.1	0	0	0	0	0	4	9	13	16	8
AT5G23060.1	0	1	4	0	10	0	0	0	0	0
AT5G23610.2	0	1	0	0	0	0	10	4	0	0
AT5G23860.1	0	0	3	0	0	0	6	9	14	12
AT5G24490.1	0	0	0	0	3	0	0	0	0	0
AT5G24770.1	0	0	0	0	0	1	0	1	0	0
AT5G24780.1	0	0	0	0	0	3	2	3	2	2
AT5G25754.1-AT5G25757.1	0	0	2	1	0	0	0	0	0	0
AT5G25980.2	6	7	6	0	0	40	114	117	119	111
AT5G26000.1	3	3	5	0	0	11	34	36	26	22
AT5G26742.2	10	6	11	0	1	5	13	16	26	23
AT5G27120.1	0	0	0	0	0	0	3	4	6	2
AT5G27640.2	2	0	0	0	0	0	0	0	0	0
AT5G27770.1	0	0	0	0	1	0	0	0	0	0
AT5G28540.1	1	4	5	0	0	5	24	22	26	21
AT5G30510.1	0	0	2	0	0	0	0	0	0	0
AT5G35530.1	1	2	1	0	0	0	0	0	1	1
AT5G35840.1	0	0	0	0	0	0	4	12	0	0
AT5G37475.1	10	0	0	4	0	22	40	47	0	0
AT5G37720.1	0	0	0	0	0	0	2	3	0	1
AT5G38410.3	1	0	6	0	1	2	0	0	0	0
AT5G38430.1	1	0	6	0	1	2	0	0	0	0
AT5G39590.1	0	0	0	0	0	0	3	0	0	0
AT5G39730.1	0	0	0	0	0	0	11	17	16	12
AT5G39740.1	0	0	0	0	0	0	2	0	0	0
AT5G40670.1	0	0	0	0	0	0	2	0	0	0
AT5G40770.1	0	0	0	0	0	3	10	11	0	0
AT5G40890.1	0	0	0	0	0	3	7	4	0	0
AT5G40950.1	2	0	1	0	0	0	0	0	0	0
AT5G41790.1	2	32	10	16	2	16	58	56	32	21
AT5G42020.1	1	4	5	0	0	5	23	24	26	22
AT5G42080.1	6	3	2	0	0	2	9	9	18	5
AT5G43630.1	0	0	0	0	0	0	0	2	0	0
AT5G43960.1	0	0	0	0	0	0	0	0	7	10
AT5G44340.1	0	1	1	0	0	3	8	7	10	5
AT5G45900.1	3	9	0	0	0	1	40	28	0	0
AT5G47190.1	0	0	1	0	0	0	0	0	0	0
AT5G47210.1	0	3	0	0	0	1	0	0	0	4
AT5G48375.1	0	0	0	0	0	0	7	5	0	0
AT5G48650.1	0	0	0	0	0	0	0	0	6	6
AT5G48960.1	0	3	0	0	0	0	19	10	0	0
AT5G49730.1	0	0	0	0	1	0	0	0	0	0
AT5G49910.1	1	8	10	0	0	0	0	0	8	5
AT5G50310.1	0	0	2	0	0	0	0	0	6	1
AT5G50370.1	0	0	0	0	0	1	8	6	0	0
AT5G50920.1	0	0	5	0	0	0	0	0	0	0
AT5G51570.1	0	0	0	0	0	0	5	3	0	0
AT5G51750.1	0	0	0	0	0	0	3	0	4	0
AT5G52450.1	0	0	0	0	0	0	2	0	0	0
AT5G52470.1	0	0	0	0	0	5	12	8	13	8
AT5G55660.1	0	0	0	0	0	0	0	0	3	0
AT5G55670.1	0	0	0	0	0	0	0	0	0	2
AT5G55920.1	0	0	0	0	0	0	0	0	4	0
AT5G56010.1	0	0	1	0	0	0	0	0	0	0
AT5G56500.1	0	0	4	0	0	0	0	0	4	3
AT5G57110.1	0	0	0	0	0	0	1	0	0	0
AT5G57120.1	0	0	0	0	0	0	0	0	2	0
AT5G57350.1	0	3	2	0	0	1	7	10	3	3
AT5G57830.1	0	0	0	0	0	0	1	0	0	0
AT5G58710.1	0	0	0	0	0	0	4	0	0	0
AT5G60660.1	0	2	2	0	0	0	2	0	0	0
AT5G60790.1	0	0	0	0	0	0	0	0	1	1
AT5G60980.2	0	0	0	0	0	0	0	0	3	4
AT5G61020.1	0	0	0	0	0	0	0	0	0	1
AT5G61780.1	0	0	0	3	0	0	0	0	0	0
AT5G62190.1	0	0	0	0	0	0	4	0	13	0
AT5G62390.1	0	0	0	0	0	10	25	35	23	21
AT5G62670.1	0	2	0	0	0	4	17	16	5	3
AT5G62690.1-AT5G62700.1	0	1	4	0	0	5	14	14	23	20
AT5G62740.1	0	0	0	0	0	3	17	13	0	0
AT5G62750.1	0	0	0	0	0	0	2	0	2	0
AT5G62810.1	0	0	0	0	0	0	2	2	0	0
AT5G63120.2	0	0	0	0	0	0	0	0	2	0
AT5G63400.1	0	0	0	0	0	1	4	6	0	0
AT5G63640.1	0	0	0	0	0	0	3	4	2	3
AT5G64040.2	0	4	3	0	0	0	0	0	0	0
AT5G64260.1	0	0	0	0	0	0	0	0	3	0
AT5G66190.1	0	3	4	0	0	0	0	0	0	0
AT5G66570.1	0	0	0	0	0	4	7	13	0	0
AT5G66680.1	0	0	0	0	0	6	8	13	0	0
AT5G67500.2	0	0	0	0	0	0	4	13	0	0
AT5G67630.1	0	0	0	0	0	0	0	0	0	1
ATCG00020.1	0	0	0	0	0	6	4	7	0	0
ATCG00120.1	5	3	15	0	0	0	0	0	0	0
ATCG00160.1	0	0	2	0	0	0	0	0	0	0
ATCG00180.1	0	0	2	0	0	0	0	0	0	0
ATCG00190.1	0	0	1	0	0	0	0	0	0	0
ATCG00270.1	0	0	2	0	0	6	11	16	0	1
ATCG00280.1	1	2	6	0	0	13	16	25	0	0
ATCG00380.1	0	0	2	0	0	0	0	0	0	0
ATCG00480.1	2	0	10	0	1	0	0	0	0	0
ATCG00490.1	5	0	30	0	0	18	14	20	2	9
ATCG00580.1	0	0	0	0	0	2	3	0	0	0
ATCG00680.1	0	0	1	0	0	13	16	28	0	0
ATCG00750.1	1	2	2	0	0	0	0	0	0	0
ATCG00760.1	2	0	0	0	0	0	0	0	0	0
ATCG00770.1	0	2	4	0	0	0	0	0	0	0
ATCG00780.1	0	0	3	0	0	0	0	0	0	0
ATCG00790.1	0	0	2	0	0	0	0	0	0	0
ATCG00800.1	0	2	3	0	0	0	0	0	0	0
ATCG00830.1-ATCG01310.1	2	0	3	0	0	0	0	0	0	0
ATCG01240.1-ATCG00900.1	1	0	5	0	0	0	0	0	0	0
ATMG00070.1	0	0	0	0	0	0	2	3	0	0
ATMG00160.1	0	0	0	0	0	0	1	4	0	0
